_id,id,pubDate,title,summary,infoSource,sourceUrl,provinceId,createTime,modifyTime,entryWay,adoptType,infoType,dataInfoState,dataInfoOperator,dataInfoTime,crawlTime,provinceName,body
5e7848c7cf364dfb25a415d9,12998,2020-03-23 13:22:55,New Delhi and major Indian cities are going into lockdown until March 31,The Indian capital New Delhi is among 75 districts in the country that will go into lockdown until March 31 in response to the coronavirus pandemic.,CNN,,,2020-03-23 13:25:32,2020-03-23 13:25:32,1.0,1.0,2.0,0.0,,2020-03-23 13:25:32,2020-03-23 13:27:28,,
5e784884cf364dfb25a415d8,12998,2020-03-23 13:22:55,New Delhi and major Indian cities are going into lockdown until March 31,"The Indian capital New Delhi is among 75 districts in the country that will go into lockdown until March 31 in response to the coronavirus pandemic.The measures extend an initial 14-hour lockdown, whi",CNN,https://cnn.com/world/live-news/coronavirus-outbreak-03-23-20-intl-hnk/index.html,,2020-03-23 13:25:32,2020-03-23 13:25:32,1.0,1.0,0.0,0.0,,2020-03-23 13:25:32,2020-03-23 13:26:22,,
5e784800cf364dfb25a415d7,12997,2020-03-23 13:17:48,The United Arab Emirates is closing all shopping malls and food markets for two weeks,"The United Arab Emirates is closing all commercial centers and shopping malls along with fish, meat and vegetable markets.The new rule will come into force in 48 hours, and will be in place for two weeks.",CNN,,,2020-03-23 13:20:51,2020-03-23 13:20:51,1.0,1.0,2.0,0.0,,2020-03-23 13:20:51,2020-03-23 13:24:10,,
5e784346cf364dfb25a41490,12991,2020-03-23 12:40:03,哥伦比亚监狱暴动致23死90伤：囚犯不满卫生条件差发起抗议,3月22日，哥伦比亚首都波哥大的一座监狱发生暴动，造成至少23人死亡，十多人受伤。据称囚犯因不满新冠疫情下的监狱卫生条件发起抗议，而司法部长称暴乱只是一场大规模的越狱意图。,人民日报海外版,http://m.weibo.cn/3057540037/4485619134236654,1,2020-03-23 12:56:18,2020-03-23 12:56:18,1.0,1.0,1.0,0.0,,2020-03-23 12:56:18,2020-03-23 13:03:59,,
5e78427dcf364dfb25a4148f,12992,2020-03-23 13:00:08,More than 154 million children in Latin America and the Caribbean are out of school due to coronavirus,"More than 154 million children in Latin America and the Caribbean are temporarily out of school due to the coronavirus outbreak, according to the United Nations International Children’s Fund (UNICEF).",CNN,,,2020-03-23 13:00:24,2020-03-23 13:00:24,0.0,0.0,2.0,0.0,,2020-03-23 13:00:24,2020-03-23 13:00:38,,
5e7841b5cf364dfb25a4148e,12985,2020-03-23 12:24:04,新西兰宣布将全面停工停课,"新西兰总理阿德恩23日表示，48小时后将把新冠肺炎疫情警报等级提高到最高级。届时，新西兰全国将全面停工停课，仅保留超市、医疗机构等必要机构运行。该警报等级将至少持续四周。
",央视新闻,http://m.weibo.cn/2656274875/4485615112315259,1,2020-03-23 12:40:17,2020-03-23 12:40:17,1.0,1.0,2.0,0.0,,2020-03-23 12:40:17,2020-03-23 12:57:19,,
5e783f18cf364dfb25a4148d,12986,2020-03-23 12:40:11,Senate delays procedural vote on massive coronavirus stimulus bill,A key Senate vote related to a massive economic stimulus plan in response to the coronavirus pandemic is being pushed back about three hours as Democrats and Republicans jockey for advantage ,CNN,,,2020-03-23 12:40:26,2020-03-23 12:40:26,1.0,1.0,2.0,0.0,,2020-03-23 12:40:26,2020-03-23 12:46:09,,
5e783e4bcf364dfb25a4148c,12986,2020-03-23 12:40:11,Senate delays procedural vote on massive coronavirus stimulus bill,A key Senate vote related to a massive economic stimulus plan in response to the coronavirus pandemic is being pushed back about three hours as Democrats and Republicans jockey for advantage in the ta,CNN,https://cnn.com/world/live-news/coronavirus-outbreak-03-23-20-intl-hnk/index.html,,2020-03-23 12:40:26,2020-03-23 12:40:26,1.0,1.0,0.0,0.0,,2020-03-23 12:40:26,2020-03-23 12:42:45,,
5e783e09cf364dfb25a4148b,12984,2020-03-23 12:32:59,First inmate in California state prison system tests positive for coronavirus,"An inmate in California has tested positive for coronavirus, making them the first Covid-19 patient within the state's prison system. ",CNN,,,2020-03-23 12:35:51,2020-03-23 12:35:51,1.0,1.0,2.0,0.0,,2020-03-23 12:35:51,2020-03-23 12:41:37,,
5e783916cf364dfb25a41483,12983,2020-03-23 12:12:47,A private airline company has been allowed to repatriate US citizens stuck in Haiti,"The Haitian government has granted permission to private airline company Eastern Airlines to fly United States citizens out of Haiti, according to a statement from the US Embassy in Haiti on Sunday.",CNN,,,2020-03-23 12:15:41,2020-03-23 12:15:41,1.0,1.0,2.0,0.0,,2020-03-23 12:15:41,2020-03-23 12:20:31,,
