_id,id,pubDate,title,summary,infoSource,sourceUrl,provinceId,provinceName,createTime,modifyTime,entryWay,adoptType,infoType,dataInfoState,dataInfoOperator,dataInfoTime,crawlTime
5e35351215f305a6b0de0fff,1298,1580539401000,辽宁新增3例累计确诊63例,"1月31日23时30分至2月1日14时30分，辽宁新增3例输入性新型冠状病毒感染的肺炎确诊病例。其中大连市2例，阜新市1例。       截至2020年2月1日14时30分，辽宁省累计报告新型冠状病毒感染的肺炎确诊病例63例，其中重型病例6例，大连市治愈出院1例。确诊病例中，沈阳市13例（1例为铁岭市转至沈阳市就诊）、大连市10例、鞍山市1例、本溪市3例、丹东市5例、锦州市7例、营口市1例、阜新市2例，辽阳市1例、铁岭市2例、朝阳市6例、盘锦市7例、葫芦岛市5例。       目前62名在治患者均在定点医疗机构隔离治疗，病情平稳。62名在治患者中，51例病例为输入性病例，6例病例为武汉输入病例家属，4例为现有确诊病例的密切接触者，1例正在对其感染情况进行流行病调查。       目前累计追踪到密切接触者898人，已解除医学观察110人，现有788人正在接受医学观察，其余正在追踪中。
",人民网,http://m.weibo.cn/2286908003/4467168382678067,21,辽宁省,1580539693000,1580539693000,1.0,1.0,1.0,0.0,,1580539693000.0,1580545297427
5e35326015f305a6b0de0ff9,1312,1580543293000,重庆新增9例累计确诊247例,"2020年2月1日0-12时，重庆市报告新型冠状病毒感染的肺炎新增确诊病例9例，新增出院病例2例。截至2月1日12时，重庆市累计报告新型冠状病毒感染的肺炎确诊病例247例，重型病例20例，危重型病例6例，死亡病例1例，出院病例3例。累计追踪到密切接触者6026人，已解除医学观察1188人，尚有4838人正在接受医学观察。
",人民网,http://m.weibo.cn/2286908003/4467184711546635,50,重庆市,1580544197000,1580544197000,1.0,1.0,1.0,0.0,,1580544197000.0,1580544607184
5e3531e315f305a6b0de0fd6,1313,1580543641000,没有足够数据证明疫情母胎传播风险,"北医三院产科专家：目前，没有足够数据证明新型冠状病毒感染母胎传播的风险问题。如孕妇确诊，医生会综合病人的孕周、疾病严重程度等具体情况，必要时要跟产科、传染病、重症ICU、新生儿科等在内的医生共同讨论，决定是否继续妊娠。保证孕妇的安全，是最重要的。
",央视新闻,http://m.weibo.cn/2656274875/4467186167140795,100,全国,1580544197000,1580544197000,1.0,1.0,2.0,0.0,,1580544197000.0,1580544482179
5e35312615f305a6b0de0fd5,1308,1580541882000,湖北黄冈实行市区人口出行管控措施,"经湖北黄冈市新型冠状病毒感染的肺炎疫情防控工作指挥部研究，决定从今天起，在黄冈市区范围内实行居民出行管控措施。即日起，严格控制市区居民出行。#每个家庭每2天可派1人上街采购#，其他人员除生病就医、疫情防控工作需要、在商超和药店上班外，不得外出。措施解除时间另行通知。
",人民网,http://m.weibo.cn/2286908003/4467178789580490,42,湖北省,1580542396000,1580542396000,1.0,1.0,2.0,0.0,,1580542396000.0,1580544290725
5e35306815f305a6b0de0fd4,1311,1580542839000,2月3日起，湖北暂停办理所有婚姻登记业务,"湖北省民政厅决定，自2020年2月3日起，全省各婚姻登记机关暂停办理所有婚姻登记业务，具体恢复时间视疫情防控情况另行通知。请各婚姻登记机关提前发布公告，并做好解释工作。特此公告。
",人民网,http://m.weibo.cn/2286908003/4467182802907988,42,湖北省,1580543300000,1580543300000,1.0,1.0,2.0,0.0,,1580543300000.0,1580544102889
5e351e9b15f305a6b0de0fc5,1293,1580538346000,湖南4岁最小患者出院,2月1日，经过长沙县第一人民医院医护人员9天的精心救治，新型冠状病毒感染的肺炎确诊患者，4岁女童蒋某，救治情况良好，符合出院标准，于当日12时58分治愈出院。这也是长沙县首例新型冠状病毒感染的肺炎确诊患者治愈出院。,人民日报,http://m.weibo.cn/2803301701/4467163957613361,43,湖南省,1580538793000,1580538793000,1.0,1.0,2.0,0.0,,1580538793000.0,1580539545530
5e35166515f305a6b0de0fc3,1291,1580536582000,上海新增病例16例，新增治愈出院1例,"2020年2月1日0—12时，上海市排除新型冠状病毒感染的肺炎疑似病例46例；新增治愈出院1例；新增确诊病例16例，其中外地来沪人员5例，本市常住人口11例。具体情况如下图。截至2月1日12时，上海市已累计排除疑似病例342例，发现确诊病例169例。确诊病例中，男性82例，女性87例；年龄最大88岁，最小7岁；105例有湖北居住或旅行史，3例有湖北以外省市居住或旅行史，59例有相关确诊病例接触史，2例无湖北接触史；外地来沪人员73例，本市常住人员96例。具体情况如下图。目前，149例病情平稳，6例病情危重，3例重症，10例治愈出院，1例死亡。尚有166例疑似病例正在排查中。
",人民网,http://m.weibo.cn/2286908003/4467156559582561,31,上海市,1580537056000,1580537056000,1.0,1.0,1.0,0.0,,1580537056000.0,1580537441285
5e35162415f305a6b0de0fc2,1292,1580536873000,直播！#上海疫情防控发布会#,"今天下午14:00，上海市政府举行疫情防控工作新闻发布会，通报上海最新防控举措。看直播，关注！
",央视新闻,http://m.weibo.cn/2656274875/4467157780320253,31,上海市,1580537056000,1580537056000,1.0,1.0,2.0,0.0,,1580537056000.0,1580537379669
5e35117015f305a6b0de0fbc,1288,1580534675000,天津新增3例累计确诊37例,"截至2月1日10时，天津市新增3例新型冠状病毒感染的肺炎确诊病例，确诊病例增至37例。
",人民网,http://m.weibo.cn/2286908003/4467148561089777,12,天津市,1580535261000,1580535261000,1.0,1.0,1.0,0.0,,1580535261000.0,1580536174729
5e350dfb15f305a6b0de0fb7,1281,1580531752000,海南2月24日前不得开学,"海南省新型冠状病毒感染肺炎疫情防控工作指挥部决定：海南省各级各类学校（含高校、中职学校、中小学、幼儿园等）于2月24日前不得开学。为有效应对“返工潮”对海南防疫工作的影响，海南省企业可灵活安排工作。从岛外返琼人员一律实行14天隔离观察，有症状的一律集中观察。
",央视新闻,http://m.weibo.cn/2656274875/4467136301294623,46,海南省,1580532982000,1580532982000,1.0,1.0,2.0,0.0,,1580532982000.0,1580535275027
